date,value
2015/08,4.81E+20
2015/09,7.05E+19
2015/10,7.42E+19
2015/11,5.95E+19
2015/12,2.68E+19
2016/01,6.11E+19
2016/02,6.55E+19
2016/03,4.59E+19
2016/04,2.27E+19
2016/05,4.70E+19
2016/06,3.05E+19
2016/07,9.58E+19
2016/08,5.91E+19
2016/09,3.26E+19
2016/10,3.24E+19
2016/11,3.96E+19
2016/12,6.15E+19
2017/01,5.62E+19
2017/02,5.56E+19
2017/03,1.77E+20
2017/04,1.11E+20
2017/05,1.25E+20
2017/06,5.68E+19
2017/07,6.50E+19
2017/08,4.83E+19
2017/09,3.44E+19
2017/10,2.67E+19
2017/11,2.96E+19
2017/12,1.37E+19
2018/01,1.12E+19
2018/02,6.23E+18
2018/03,2.73E+18
2018/04,2.45E+18
2018/05,2.50E+18
2018/06,2.81E+18
2018/07,2.27E+18
2018/08,2.40E+18
2018/09,3.73E+18
2018/10,3.07E+18
2018/11,5.40E+18
2018/12,5.94E+18
2019/01,4.45E+18
2019/02,3.98E+18
2019/03,3.82E+18
2019/04,4.13E+18
2019/05,4.01E+18
2019/06,3.04E+18